Created as New Dataset;Sample 1471 By Administrator Date tirsdag, november 28 2017
cm-1;%T
3462,00;89,57
3461,00;89,56
3460,00;89,54
3459,00;89,52
3458,00;89,51
3457,00;89,50
3456,00;89,49
3455,00;89,47
3454,00;89,46
3453,00;89,44
3452,00;89,41
3451,00;89,38
3450,00;89,34
3449,00;89,31
3448,00;89,28
3447,00;89,26
3446,00;89,25
3445,00;89,24
3444,00;89,23
3443,00;89,23
3442,00;89,22
3441,00;89,21
3440,00;89,20
3439,00;89,18
3438,00;89,16
3437,00;89,14
3436,00;89,12
3435,00;89,10
3434,00;89,08
3433,00;89,06
3432,00;89,05
3431,00;89,03
3430,00;89,01
3429,00;89,00
3428,00;88,99
3427,00;88,99
3426,00;88,98
3425,00;88,96
3424,00;88,94
3423,00;88,92
3422,00;88,90
3421,00;88,89
3420,00;88,88
3419,00;88,88
3418,00;88,88
3417,00;88,88
3416,00;88,87
3415,00;88,85
3414,00;88,84
3413,00;88,82
3412,00;88,81
3411,00;88,80
3410,00;88,79
3409,00;88,79
3408,00;88,78
3407,00;88,78
3406,00;88,77
3405,00;88,77
3404,00;88,76
3403,00;88,75
3402,00;88,74
3401,00;88,74
3400,00;88,73
3399,00;88,73
3398,00;88,73
3397,00;88,73
3396,00;88,73
3395,00;88,72
3394,00;88,71
3393,00;88,70
3392,00;88,70
3391,00;88,70
3390,00;88,70
3389,00;88,70
3388,00;88,70
3387,00;88,69
3386,00;88,68
3385,00;88,67
3384,00;88,65
3383,00;88,63
3382,00;88,61
3381,00;88,60
3380,00;88,58
3379,00;88,57
3378,00;88,55
3377,00;88,53
3376,00;88,52
3375,00;88,50
3374,00;88,49
3373,00;88,48
3372,00;88,47
3371,00;88,46
3370,00;88,45
3369,00;88,44
3368,00;88,44
3367,00;88,44
3366,00;88,46
3365,00;88,48
3364,00;88,50
3363,00;88,52
3362,00;88,54
3361,00;88,56
3360,00;88,58
3359,00;88,61
3358,00;88,63
3357,00;88,65
3356,00;88,67
3355,00;88,70
3354,00;88,72
3353,00;88,74
3352,00;88,76
3351,00;88,78
3350,00;88,80
3349,00;88,82
3348,00;88,85
3347,00;88,86
3346,00;88,88
3345,00;88,88
3344,00;88,88
3343,00;88,88
3342,00;88,88
3341,00;88,89
3340,00;88,88
3339,00;88,88
3338,00;88,88
3337,00;88,88
3336,00;88,88
3335,00;88,89
3334,00;88,89
3333,00;88,88
3332,00;88,87
3331,00;88,86
3330,00;88,85
3329,00;88,84
3328,00;88,82
3327,00;88,80
3326,00;88,77
3325,00;88,75
3324,00;88,72
3323,00;88,70
3322,00;88,67
3321,00;88,64
3320,00;88,60
3319,00;88,55
3318,00;88,50
3317,00;88,44
3316,00;88,38
3315,00;88,32
3314,00;88,24
3313,00;88,16
3312,00;88,07
3311,00;87,97
3310,00;87,86
3309,00;87,75
3308,00;87,63
3307,00;87,49
3306,00;87,36
3305,00;87,21
3304,00;87,06
3303,00;86,90
3302,00;86,73
3301,00;86,54
3300,00;86,34
3299,00;86,12
3298,00;85,88
3297,00;85,64
3296,00;85,37
3295,00;85,10
3294,00;84,80
3293,00;84,50
3292,00;84,18
3291,00;83,87
3290,00;83,55
3289,00;83,22
3288,00;82,88
3287,00;82,54
3286,00;82,19
3285,00;81,85
3284,00;81,50
3283,00;81,17
3282,00;80,85
3281,00;80,53
3280,00;80,23
3279,00;79,95
3278,00;79,68
3277,00;79,43
3276,00;79,20
3275,00;79,00
3274,00;78,83
3273,00;78,68
3272,00;78,56
3271,00;78,47
3270,00;78,40
3269,00;78,37
3268,00;78,37
3267,00;78,39
3266,00;78,43
3265,00;78,49
3264,00;78,56
3263,00;78,66
3262,00;78,76
3261,00;78,88
3260,00;79,01
3259,00;79,15
3258,00;79,29
3257,00;79,44
3256,00;79,59
3255,00;79,73
3254,00;79,88
3253,00;80,03
3252,00;80,17
3251,00;80,30
3250,00;80,43
3249,00;80,56
