C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
371.206	1115.48	47435	47435
371.706	1114.98	48175	48175
372.206	1114.48	47650	47650
372.706	1113.98	47445	47445
373.206	1113.48	46995	46995
373.706	1112.98	47290	47290
374.206	1112.48	46790	46790
374.706	1111.98	47555	47555
375.206	1111.48	47795	47795
375.706	1110.98	47995	47995
376.206	1110.48	47565	47565
376.706	1109.98	47720	47720
377.206	1109.48	47715	47715
377.706	1108.98	47780	47780
378.206	1108.48	48590	48590
378.706	1107.98	47595	47595
379.206	1107.48	48050	48050
379.706	1106.98	48300	48300
380.206	1106.48	48775	48775
380.706	1105.98	48505	48505
381.206	1105.48	48800	48800
381.706	1104.98	48885	48885
382.206	1104.48	48375	48375
382.706	1103.98	47255	47255
383.206	1103.48	48310	48310
383.706	1102.98	47680	47680
384.206	1102.48	48030	48030
384.706	1101.98	48740	48740
385.206	1101.48	47640	47640
385.706	1100.98	47885	47885
386.206	1100.48	48475	48475
386.706	1099.98	48290	48290
387.206	1099.48	48340	48340
387.706	1098.98	49010	49010
388.206	1098.48	49470	49470
388.706	1097.98	48930	48930
389.206	1097.48	48100	48100
389.706	1096.98	48045	48045
390.206	1096.48	47910	47910
390.706	1095.98	48835	48835
391.206	1095.48	49630	49630
391.706	1094.98	48175	48175
392.206	1094.48	48695	48695
392.706	1093.98	48320	48320
393.206	1093.48	48725	48725
393.706	1092.98	48320	48320
394.206	1092.48	48370	48370
394.706	1091.98	48920	48920
395.206	1091.48	49060	49060
395.706	1090.98	48695	48695
396.206	1090.48	48675	48675
396.706	1089.98	49290	49290
397.206	1089.48	49210	49210
397.706	1088.98	48890	48890
398.206	1088.48	48565	48565
398.706	1087.98	48670	48670
399.206	1087.48	49640	49640
399.706	1086.98	49295	49295
400.206	1086.48	48365	48365
400.706	1085.98	48820	48820
401.206	1085.48	48565	48565
401.706	1084.98	49065	49065
402.206	1084.48	49655	49655
402.706	1083.98	50040	50040
403.206	1083.48	49185	49185
403.706	1082.98	49805	49805
404.206	1082.48	49375	49375
404.706	1081.98	49580	49580
405.206	1081.48	49685	49685
405.706	1080.98	50440	50440
406.206	1080.48	50315	50315
406.706	1079.98	49635	49635
407.206	1079.48	49785	49785
407.706	1078.98	49500	49500
408.206	1078.48	50330	50330
408.706	1077.98	50455	50455
409.206	1077.48	49905	49905
409.706	1076.98	49955	49955
410.206	1076.48	50555	50555
410.706	1075.98	50460	50460
411.206	1075.48	49875	49875
411.706	1074.98	50245	50245
412.206	1074.48	50685	50685
412.706	1073.98	50495	50495
413.206	1073.48	50425	50425
413.706	1072.98	50415	50415
414.206	1072.48	51115	51115
414.706	1071.98	50565	50565
415.206	1071.48	50855	50855
415.706	1070.98	50945	50945
416.206	1070.48	51515	51515
416.706	1069.98	50895	50895
417.206	1069.48	50785	50785
417.706	1068.98	50850	50850
418.206	1068.48	50955	50955
418.706	1067.98	50410	50410
419.206	1067.48	50620	50620
419.706	1066.98	51360	51360
420.206	1066.48	51290	51290
420.706	1065.98	51100	51100
421.206	1065.48	50945	50945
421.706	1064.98	51475	51475
422.206	1064.48	50580	50580
422.706	1063.98	51770	51770
423.206	1063.48	52025	52025
423.706	1062.98	51405	51405
424.206	1062.48	51900	51900
424.706	1061.98	51935	51935
425.206	1061.48	51595	51595
425.706	1060.98	51630	51630
426.206	1060.48	52175	52175
426.706	1059.98	51870	51870
427.206	1059.48	51805	51805
427.706	1058.98	52385	52385
428.206	1058.48	52585	52585
428.706	1057.98	53260	53260
429.206	1057.48	53055	53055
429.706	1056.98	51910	51910
430.206	1056.48	51675	51675
430.706	1055.98	52465	52465
431.206	1055.48	52825	52825
431.706	1054.98	52580	52580
432.206	1054.48	52375	52375
432.706	1053.98	52700	52700
433.206	1053.48	52790	52790
433.706	1052.98	51940	51940
434.206	1052.48	52815	52815
434.706	1051.98	53055	53055
435.206	1051.48	52725	52725
435.706	1050.98	52340	52340
436.206	1050.48	52270	52270
436.706	1049.98	52240	52240
437.206	1049.48	52720	52720
437.706	1048.98	52565	52565
438.206	1048.48	52735	52735
438.706	1047.98	53090	53090
439.206	1047.48	52675	52675
439.706	1046.98	52690	52690
440.206	1046.48	53240	53240
440.706	1045.98	53340	53340
441.206	1045.48	53050	53050
441.706	1044.98	54000	54000
442.206	1044.48	53470	53470
442.706	1043.98	54395	54395
443.206	1043.48	54265	54265
443.706	1042.98	53635	53635
444.206	1042.48	53465	53465
444.706	1041.98	54080	54080
445.206	1041.48	53455	53455
445.706	1040.98	53250	53250
446.206	1040.48	53770	53770
446.706	1039.98	53605	53605
447.206	1039.48	54080	54080
447.706	1038.98	54300	54300
448.206	1038.48	54605	54605
448.706	1037.98	54150	54150
449.206	1037.48	54000	54000
449.706	1036.98	54140	54140
450.206	1036.48	54710	54710
450.706	1035.98	54340	54340
451.206	1035.48	53940	53940
451.706	1034.98	54235	54235
452.206	1034.48	53705	53705
452.706	1033.98	53410	53410
453.206	1033.48	54450	54450
453.706	1032.98	54240	54240
454.206	1032.48	55025	55025
454.706	1031.98	55435	55435
455.206	1031.48	54445	54445
455.706	1030.98	54745	54745
456.206	1030.48	54670	54670
456.706	1029.98	54985	54985
457.206	1029.48	54695	54695
457.706	1028.98	55070	55070
458.206	1028.48	55465	55465
458.706	1027.98	55605	55605
459.206	1027.48	55180	55180
459.706	1026.98	55100	55100
460.206	1026.48	55310	55310
460.706	1025.98	55390	55390
461.206	1025.48	55300	55300
461.706	1024.98	55745	55745
462.206	1024.48	56270	56270
462.706	1023.98	56515	56515
