Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
3056,00;83,91
3055,00;83,92
3054,00;83,92
3053,00;83,93
3052,00;83,93
3051,00;83,92
3050,00;83,92
3049,00;83,92
3048,00;83,92
3047,00;83,92
3046,00;83,93
3045,00;83,93
3044,00;83,92
3043,00;83,91
3042,00;83,90
3041,00;83,90
3040,00;83,89
3039,00;83,89
3038,00;83,89
3037,00;83,88
3036,00;83,88
3035,00;83,87
3034,00;83,86
3033,00;83,85
3032,00;83,84
3031,00;83,84
3030,00;83,85
3029,00;83,85
3028,00;83,85
3027,00;83,85
3026,00;83,84
3025,00;83,84
3024,00;83,83
3023,00;83,83
3022,00;83,84
3021,00;83,84
3020,00;83,84
3019,00;83,85
3018,00;83,85
3017,00;83,86
3016,00;83,86
3015,00;83,86
3014,00;83,87
3013,00;83,87
3012,00;83,86
3011,00;83,86
3010,00;83,85
3009,00;83,85
3008,00;83,84
3007,00;83,84
3006,00;83,83
3005,00;83,82
3004,00;83,81
3003,00;83,80
3002,00;83,79
3001,00;83,79
3000,00;83,79
2999,00;83,79
2998,00;83,78
2997,00;83,77
2996,00;83,76
2995,00;83,75
2994,00;83,74
2993,00;83,74
2992,00;83,73
2991,00;83,72
2990,00;83,71
2989,00;83,70
2988,00;83,69
2987,00;83,69
2986,00;83,68
2985,00;83,68
2984,00;83,67
2983,00;83,67
2982,00;83,67
2981,00;83,67
2980,00;83,66
2979,00;83,66
2978,00;83,65
2977,00;83,65
2976,00;83,64
2975,00;83,63
2974,00;83,63
2973,00;83,62
2972,00;83,62
2971,00;83,62
2970,00;83,62
2969,00;83,63
2968,00;83,63
2967,00;83,64
2966,00;83,66
2965,00;83,67
2964,00;83,68
2963,00;83,68
2962,00;83,69
2961,00;83,69
2960,00;83,70
2959,00;83,71
2958,00;83,72
2957,00;83,72
2956,00;83,72
2955,00;83,72
2954,00;83,72
2953,00;83,71
2952,00;83,71
2951,00;83,71
2950,00;83,70
2949,00;83,70
2948,00;83,69
2947,00;83,69
2946,00;83,69
2945,00;83,68
2944,00;83,68
2943,00;83,68
2942,00;83,68
2941,00;83,68
2940,00;83,69
2939,00;83,70
2938,00;83,72
2937,00;83,74
2936,00;83,76
2935,00;83,79
2934,00;83,81
2933,00;83,83
2932,00;83,85
2931,00;83,87
2930,00;83,89
2929,00;83,91
2928,00;83,92
2927,00;83,93
2926,00;83,94
2925,00;83,96
2924,00;83,98
2923,00;83,99
2922,00;84,00
2921,00;84,00
2920,00;84,00
2919,00;83,98
2918,00;83,96
2917,00;83,94
2916,00;83,91
2915,00;83,88
2914,00;83,85
2913,00;83,82
2912,00;83,79
2911,00;83,76
