C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/9
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/9	BE_N 1s/9	CPS_N 1s/9	Background_N 1s/9
1083.67	403.024	2119.77	2119.77
1083.77	402.924	2114.74	2114.74
1083.87	402.824	2163.32	2163.32
1083.97	402.724	2181.74	2181.74
1084.07	402.624	2180.07	2180.07
1084.17	402.524	2139.03	2139.03
1084.27	402.424	2102.18	2102.18
1084.37	402.324	2144.89	2144.89
1084.47	402.224	2165.83	2165.83
1084.57	402.124	2185.93	2185.93
1084.67	402.024	2151.59	2151.59
1084.77	401.924	2140.7	2140.7
1084.87	401.824	2159.13	2159.13
1084.97	401.724	2205.19	2205.19
1085.07	401.624	2164.15	2164.15
1085.17	401.524	2212.73	2212.73
1085.27	401.424	2221.11	2221.11
1085.37	401.324	2185.09	2185.09
1085.47	401.224	2216.08	2216.08
1085.57	401.124	2275.54	2275.54
1085.67	401.024	2221.94	2221.94
1085.77	400.924	2288.94	2288.94
1085.87	400.824	2298.99	2298.99
1085.97	400.724	2323.28	2323.28
1086.07	400.624	2328.31	2328.31
1086.17	400.524	2345.06	2345.06
1086.27	400.424	2338.36	2338.36
1086.37	400.324	2415.41	2415.41
1086.47	400.224	2440.54	2440.54
1086.57	400.124	2422.11	2422.11
1086.67	400.024	2459.8	2459.8
1086.77	399.924	2479.9	2479.9
1086.87	399.824	2447.24	2447.24
1086.97	399.724	2460.64	2460.64
1087.07	399.624	2391.96	2391.96
1087.17	399.524	2394.47	2394.47
1087.27	399.424	2383.58	2383.58
1087.37	399.324	2366.83	2366.83
1087.47	399.224	2304.02	2304.02
1087.57	399.124	2283.08	2283.08
1087.67	399.024	2228.64	2228.64
1087.77	398.924	2098.83	2098.83
1087.87	398.824	2184.25	2184.25
1087.97	398.724	2171.69	2171.69
1088.07	398.624	2085.43	2085.43
1088.17	398.524	2101.34	2101.34
1088.27	398.424	2079.56	2079.56
1088.37	398.324	2094.64	2094.64
1088.47	398.224	2087.94	2087.94
1088.57	398.124	2083.75	2083.75
1088.67	398.024	2075.38	2075.38
1088.77	397.924	1981.57	1981.57
1088.87	397.824	1999.16	1999.16
1088.97	397.724	2072.03	2072.03
1089.07	397.624	2030.15	2030.15
1089.17	397.524	2028.48	2028.48
1089.27	397.424	1958.96	1958.96
1089.37	397.324	2053.6	2053.6
1089.47	397.224	2057.79	2057.79
1089.57	397.124	2054.44	2054.44
1089.67	397.024	2037.69	2037.69
1089.77	396.924	2049.41	2049.41
1089.87	396.824	2019.26	2019.26
1089.97	396.724	2025.96	2025.96
1090.07	396.624	2044.39	2044.39
1090.17	396.524	2053.6	2053.6
1090.27	396.424	2039.36	2039.36
1090.37	396.324	2057.79	2057.79
1090.47	396.224	2056.95	2056.95
1090.57	396.124	2041.04	2041.04
1090.67	396.024	2083.75	2083.75
1090.77	395.924	2069.51	2069.51
1090.87	395.824	2083.75	2083.75
1090.97	395.724	2079.56	2079.56
1091.07	395.624	2057.79	2057.79
1091.17	395.524	2064.49	2064.49
1091.27	395.424	1994.14	1994.14
1091.37	395.324	2051.09	2051.09
1091.47	395.224	1974.04	1974.04
1091.57	395.124	2004.19	2004.19
1091.67	395.024	2027.64	2027.64
1091.77	394.924	2056.11	2056.11
1091.87	394.824	2039.36	2039.36
1091.97	394.724	2004.19	2004.19
1092.07	394.624	2006.7	2006.7
1092.17	394.524	2054.44	2054.44
1092.27	394.424	2016.75	2016.75
1092.37	394.324	2049.41	2049.41
1092.47	394.224	2042.71	2042.71
1092.57	394.124	2085.43	2085.43
1092.67	394.024	2077.89	2077.89
1092.77	393.924	2052.76	2052.76
1092.87	393.824	2035.18	2035.18
1092.97	393.724	2061.98	2061.98
