C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/14
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/14	BE_N 1s/14	CPS_N 1s/14	Background_N 1s/14
1088.46	398.234	1801.51	1801.51
1088.56	398.134	1866.83	1866.83
1088.66	398.034	1882.75	1882.75
1088.76	397.934	1827.47	1827.47
1088.86	397.834	1862.65	1862.65
1088.96	397.734	1825.8	1825.8
1089.06	397.634	1862.65	1862.65
1089.16	397.534	1863.48	1863.48
1089.26	397.434	1907.87	1907.87
1089.36	397.334	1924.62	1924.62
1089.46	397.234	1881.91	1881.91
1089.56	397.134	1878.56	1878.56
1089.66	397.034	1864.32	1864.32
1089.76	396.934	1819.1	1819.1
1089.86	396.834	1863.48	1863.48
1089.96	396.734	1862.65	1862.65
1090.06	396.634	1904.52	1904.52
1090.16	396.534	1885.26	1885.26
1090.26	396.434	1908.71	1908.71
1090.36	396.334	1898.66	1898.66
1090.46	396.234	1899.5	1899.5
1090.56	396.134	1844.22	1844.22
1090.66	396.034	1847.57	1847.57
1090.76	395.934	1837.52	1837.52
1090.86	395.834	1860.13	1860.13
1090.96	395.734	1853.43	1853.43
1091.06	395.634	1866.83	1866.83
1091.16	395.534	1887.77	1887.77
1091.26	395.434	1849.25	1849.25
1091.36	395.334	1918.76	1918.76
1091.46	395.234	1959.8	1959.8
1091.56	395.134	1896.15	1896.15
1091.66	395.034	1827.47	1827.47
1091.76	394.934	1863.48	1863.48
1091.86	394.834	1885.26	1885.26
1091.96	394.734	1838.36	1838.36
1092.06	394.634	1881.91	1881.91
1092.16	394.534	1878.56	1878.56
1092.26	394.434	1848.41	1848.41
1092.36	394.334	1823.28	1823.28
1092.46	394.234	1857.62	1857.62
1092.56	394.134	1862.65	1862.65
1092.66	394.034	1871.86	1871.86
1092.76	393.934	1911.22	1911.22
1092.86	393.834	1914.57	1914.57
1092.96	393.734	1902.01	1902.01
1093.06	393.634	1881.07	1881.07
1093.16	393.534	1856.78	1856.78
1093.26	393.434	1914.57	1914.57
1093.36	393.334	1872.7	1872.7
1093.46	393.234	1896.15	1896.15
1093.56	393.134	1894.47	1894.47
1093.66	393.034	1886.93	1886.93
1093.76	392.934	1848.41	1848.41
1093.86	392.834	1866.83	1866.83
1093.96	392.734	1953.94	1953.94
1094.06	392.634	1879.4	1879.4
1094.16	392.534	1880.23	1880.23
1094.26	392.434	1874.37	1874.37
1094.36	392.334	1892.8	1892.8
1094.46	392.234	1887.77	1887.77
1094.56	392.134	1851.76	1851.76
1094.66	392.034	1879.4	1879.4
1094.76	391.934	1871.02	1871.02
1094.86	391.834	1890.28	1890.28
1094.96	391.734	1855.11	1855.11
1095.06	391.634	1889.45	1889.45
1095.16	391.534	1855.11	1855.11
1095.26	391.434	1922.11	1922.11
1095.36	391.334	1882.75	1882.75
1095.46	391.234	1835.01	1835.01
1095.56	391.134	1846.73	1846.73
1095.66	391.034	1801.51	1801.51
1095.76	390.934	1866	1866
1095.86	390.834	1830.82	1830.82
1095.96	390.734	1915.41	1915.41
1096.06	390.634	1906.2	1906.2
1096.16	390.534	1918.76	1918.76
1096.26	390.434	1866	1866
1096.36	390.334	1871.02	1871.02
1096.46	390.234	1843.38	1843.38
