C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/18
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/18	BE_C 1s/18	CPS_C 1s/18	C=C (sp2)_1_C 1s/18	C-O/C-N_2_C 1s/18	C=O_3_C 1s/18	p-p* (SUS)_4_C 1s/18	C-C (sp3)_5_C 1s/18	Background_C 1s/18	Envelope_C 1s/18
1197.56	289.134	1839	1380.03	1157.24	1585.15	1173.27	1155.74	1155.74	1828.47
1197.66	289.034	1804	1386.1	1157.31	1608.6	1168.18	1154.82	1154.82	1855.72
1197.76	288.934	1881	1392.07	1157.84	1626.67	1163.86	1153.8	1153.8	1879.05
1197.86	288.834	1949	1400.65	1159.18	1638.48	1160.17	1152.67	1152.67	1900.47
1197.96	288.734	1878	1411.22	1161.93	1643.62	1157.18	1151.65	1151.65	1919.01
1198.06	288.634	1985	1421.64	1166.41	1641.53	1154.5	1150.47	1150.47	1932.69
1198.16	288.534	1904	1432.17	1173.69	1632.52	1152.31	1149.4	1149.4	1942.49
1198.26	288.434	1980	1442.59	1184.62	1616.74	1150.3	1148.22	1148.22	1949.58
1198.36	288.334	2003	1452.98	1200.68	1594.95	1148.49	1147.01	1147.01	1956.05
1198.46	288.234	1950	1463.44	1223.54	1568.14	1146.91	1145.88	1145.88	1964.39
1198.56	288.134	1934	1474.9	1255.09	1537.45	1145.48	1144.76	1144.76	1978.63
1198.66	288.034	1972	1489.93	1297.47	1504	1144.08	1143.59	1143.59	2004.7
1198.76	287.934	2079	1506.24	1353.31	1468.85	1142.6	1142.27	1142.27	2044.2
1198.86	287.834	2046	1524.22	1424.8	1433.27	1141.21	1140.99	1140.99	2100.53
1198.96	287.734	2203	1543.78	1513.58	1397.96	1139.63	1139.49	1139.49	2176.5
1199.06	287.634	2300	1565.26	1620.96	1363.78	1137.94	1137.84	1137.84	2274.42
1199.16	287.534	2420	1588.89	1747.34	1331.33	1136.09	1136.03	1136.03	2395.57
1199.26	287.434	2568	1614.95	1890.51	1301.01	1134.04	1134	1134	2538.49
1199.36	287.334	2706	1643.8	2046.34	1273.09	1131.8	1131.78	1131.78	2699.69
1199.46	287.234	2819	1675.94	2208.45	1247.74	1129.41	1129.39	1129.39	2873.37
